sourceType,platformId,platformLabel,date,region,channel,sourceChannel,merchant,rawMerchant,brand,product,rawProduct,activityName,activityGmv,subsidy,orderId
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(澄江容大广场店),大理啤酒,大理V8啤酒470ml瓶装12箱装,大理V8啤酒470ml瓶装12箱装,【品牌联盟券】6月深夜小酒馆38-8,53.0,8.0,4010310338379981333
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(蒙自同德广场店),风花雪月,风花雪月500ml罐装12箱装,风花雪月500ml罐装12箱装,嘉士伯_满减券_6月品牌加持满49-10全渠道-新,63.0,10.0,4010350338349964968
bill,taobao,淘宝闪购,2026-06-08,华中-非湖南,酒小二,酒类专营店,酒小二,酒小二(鄂州职大店),乌苏,红乌苏500ml大罐装6罐装,红乌苏 500ml*6多罐装,嘉士伯_满减券_6月华中加持品牌券满79-20,96.0,20.0,4010440338062811707
bill,taobao,淘宝闪购,2026-06-08,华中-非湖南,酒小二,酒类专营店,酒小二,酒小二(鄂州职大店),乌苏,红乌苏500ml大罐装12箱装,红乌苏啤酒500ml*12罐/箱,嘉士伯_满减券_6月华中加持品牌券满59-15,95.0,15.0,4010440338062888700
bill,taobao,淘宝闪购,2026-06-08,CBC-SC,酒小二,酒类专营店,酒小二,酒小二(龙泉驿炜岸城店),K1664,1664桃红500ml罐装6罐装,乐堡 啤酒330ml*24,【品牌联盟券】6月深夜小酒馆69-15,79.0,15.0,4010440338341011050
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(石林万城店),乐堡,乐堡啤酒500ml大罐装12箱装,乐堡 啤酒500ml大罐装12箱装,嘉士伯_满减券_6月品牌加持满59-10全渠道,69.0,10.0,4010526171970636340
bill,taobao,淘宝闪购,2026-06-08,NX,惠宜选,仓店,惠宜选,拾惠客24H超市(延安双拥大道店),乌苏,红乌苏620ml大瓶装6箱装,乌苏啤酒620ml*6瓶/箱,【闪购仓】6月深夜小酒馆49-15,52.9,8.0,4010546171895074526
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(弥勒益华小区店),风花雪月,风花雪月桃花味500ml罐12箱装,风花雪月桃花味低醇啤酒500ml罐12箱装,【品牌联盟券】6月深夜小酒馆38-8,94.0,8.0,4010676172025715205
bill,taobao,淘宝闪购,2026-06-08,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客24h超市(金安区三十铺镇长江东路店),乌苏,红乌苏500ml大罐装,乌苏 红罐装啤酒 500ml/罐,【闪购仓】6月深夜小酒馆49-15,52.8,8.0,4010696171993416270
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(腾冲新闻路店),大理啤酒,大理V8啤酒500ml罐装,大理V8啤酒500ml罐装,【品牌联盟券】6月深夜小酒馆38-8,68.0,8.0,4010746171922598600
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(昆明映象店),大理啤酒,大理V8啤酒500ml罐装,大理V8啤酒500ml罐装,【品牌联盟券】6月深夜小酒馆38-8,59.0,8.0,4010756171965416163
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(澜沧铅矿店),大理啤酒,大理V8啤酒500ml罐装,大理V8啤酒500ml罐装,【品牌联盟券】6月深夜小酒馆38-8,112.0,8.0,4010836171896925753
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(澜沧铅矿店),大理啤酒,大理V8啤酒500ml罐装,大理V8啤酒500ml罐装,【品牌联盟券】6月深夜小酒馆38-8,56.0,8.0,4010836171989314199
bill,taobao,淘宝闪购,2026-06-08,华中-湖南,酒小二,酒类专营店,酒小二,酒小二(永州杨家园店),重庆啤酒,重庆88啤酒468ml瓶装12箱装,重庆88啤酒468ml瓶装12箱装,嘉士伯_满减券_6月品牌加持满49-10全渠道-新,94.0,10.0,4010896171892931139
bill,taobao,淘宝闪购,2026-06-08,华中-非湖南,酒小二,酒类专营店,酒小二,酒小二(普定金地站),重庆啤酒,重庆山城精品啤酒500ml罐装12箱装,重庆山城精品啤酒500ml罐装12箱装,嘉士伯_满减券_6月华中加持品牌券满29-6,47.0,6.0,4010896171910741701
